date,team,player,position,acquired,relinquished,notes,source,scraped_at,injury_status,injury_comment,injury_type,is_injury,is_return,processed_at
2025-08-09,UNK,Rylie Mills,DT,,Rylie Mills,Status: Aug 7 - Out,ESPN_WEB,2025-08-09T19:18:24.843788,Aug 7,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Johnathan Hankins,DT,,Johnathan Hankins,Status: Aug 7 - Out,ESPN_WEB,2025-08-09T19:18:24.842784,Aug 7,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Uchenna Nwosu,LB,,Uchenna Nwosu,Status: Sep 7 - Out,ESPN_WEB,2025-08-09T19:18:24.842784,Sep 7,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Kenny McIntosh,RB,,Kenny McIntosh,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.842784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Charles Cross,OT,,Charles Cross,Status: Sep 7 - Questionable,ESPN_WEB,2025-08-09T19:18:24.842784,Sep 7,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Chris Godwin,WR,,Chris Godwin,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.847784,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,AJ Finley,S,,AJ Finley,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.842784,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Tyrice Knight,LB,,Tyrice Knight,Status: Aug 15 - Questionable,ESPN_WEB,2025-08-09T19:18:24.842784,Aug 15,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Josh Ross,LB,,Josh Ross,Status: Aug 15 - Questionable,ESPN_WEB,2025-08-09T19:18:24.842784,Aug 15,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Steven Sims,WR,,Steven Sims,Status: Aug 15 - Questionable,ESPN_WEB,2025-08-09T19:18:24.842784,Aug 15,Questionable,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Tre Tomlinson,CB,,Tre Tomlinson,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.838786,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Trent Taylor,WR,,Trent Taylor,Status: Feb 9 - Injured Reserve,ESPN_WEB,2025-08-09T19:18:24.838786,Feb 9,Injured Reserve,other,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Kurtis Rourke,QB,,Kurtis Rourke,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.838786,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
2025-08-09,UNK,Malik Mustapha,S,,Malik Mustapha,Status: Aug 9 - Out,ESPN_WEB,2025-08-09T19:18:24.838786,Aug 9,Out,status_update,True,False,2025-08-09T19:18:24.870784
